Survived,Pclass,Age,SibSp,Parch,Fare,EmbarkedC,EmbarkedS,Female
0,3,31.0,0,0,7.8542,0,1,1
0,3,29.0,0,0,8.05,0,1,0
0,2,54.0,0,0,14.0,0,1,0
1,3,29.435674418604652,0,0,7.75,0,0,1
0,3,29.435674418604652,0,0,7.6292,0,0,1
1,2,22.0,1,2,41.5792,1,0,1
1,1,51.0,0,0,26.55,0,1,0
0,1,61.0,0,0,33.5,0,1,0
0,3,8.0,2,1,21.075,0,1,1
0,3,29.435674418604652,0,0,56.4958,0,1,0
0,3,29.435674418604652,0,0,7.75,0,0,0
0,3,23.5,0,0,7.2292,1,0,0
0,3,25.0,0,0,7.65,0,1,0
1,2,0.67,1,1,14.5,0,1,0
1,1,36.0,1,2,120.0,0,1,1
0,1,58.0,0,0,29.7,1,0,0
0,1,45.0,0,0,26.55,0,1,0
0,3,22.0,0,0,7.8958,0,1,0
0,3,20.0,0,0,4.0125,1,0,0
0,3,16.0,2,2,46.9,0,1,1
0,3,40.0,1,3,27.9,0,1,0
0,3,39.0,1,3,31.275,0,1,0
1,1,18.0,0,2,79.65,0,1,1
1,1,40.0,0,0,31.0,1,0,0
0,3,29.435674418604652,0,0,7.7292,0,0,0
0,3,36.0,0,0,7.8958,0,1,0
1,2,29.0,1,0,26.0,0,1,1
0,2,29.435674418604652,0,0,0.0,0,1,0
1,2,55.0,0,0,16.0,0,1,1
0,3,29.435674418604652,2,2,69.55,0,1,1
1,3,16.0,0,0,8.05,0,1,0
0,2,18.0,0,0,73.5,0,1,0
1,3,29.435674418604652,0,0,7.75,0,0,0
1,3,27.0,0,1,12.475,0,1,1
1,3,24.0,1,0,15.85,0,1,1
0,2,25.0,1,0,26.0,0,1,0
1,3,4.0,0,1,13.4167,1,0,1
0,3,29.435674418604652,2,2,69.55,0,1,1
0,3,29.435674418604652,2,0,21.6792,1,0,0
0,3,29.435674418604652,2,1,25.4667,0,1,1
1,1,49.0,1,0,76.7292,1,0,1
0,3,29.435674418604652,0,0,7.2292,1,0,0
0,3,30.0,0,0,7.2292,1,0,0
1,3,9.0,0,2,20.525,0,1,0
0,3,20.0,0,0,7.8542,0,1,0
1,1,69.09083657624345,0,0,30.0,0,1,0
0,2,28.0,0,0,13.5,0,1,0
1,3,29.435674418604652,1,0,15.5,0,0,1
0,3,29.435674418604652,0,0,7.8958,0,1,0
0,3,28.0,0,0,7.8958,0,1,1
0,3,8.0,2,1,29.125,0,0,0
0,2,26.0,0,0,10.5,0,1,0
0,3,21.0,0,0,7.7333,0,0,0
0,2,30.0,0,0,13.0,0,1,0
1,1,30.0,0,0,86.5,0,1,1
0,3,26.0,1,0,16.1,0,1,1
1,1,36.0,1,2,120.0,0,1,0
1,1,24.0,0,0,69.3,1,0,1
1,3,13.0,0,0,7.2292,1,0,1
1,1,35.0,0,0,165.67585555058142,1,0,1
0,3,24.0,0,0,7.7958,0,1,0
1,1,49.0,0,0,25.9292,0,1,1
0,3,33.0,0,0,8.6542,0,1,0
0,3,29.435674418604652,0,0,14.4583,1,0,0
0,3,29.435674418604652,2,2,69.55,0,1,1
1,2,33.0,0,2,26.0,0,1,1
1,3,26.0,0,0,18.7875,1,0,0
1,1,19.0,1,0,91.0792,1,0,1
1,2,30.0,2,0,21.0,0,1,1
0,2,34.0,1,0,21.0,0,1,0
0,3,29.435674418604652,0,0,8.05,0,1,0
1,1,24.0,0,0,83.1583,1,0,1
0,3,29.435674418604652,0,0,7.75,0,0,0
1,3,29.435674418604652,0,0,7.7875,0,0,1
0,2,54.0,0,0,26.0,0,1,0
0,3,9.0,2,2,27.9,0,1,1
1,3,29.435674418604652,1,1,15.2458,1,0,0
1,3,29.435674418604652,0,0,8.1125,0,1,0
0,3,21.0,0,0,7.775,0,1,0
1,1,35.0,1,0,83.475,0,1,1
1,2,3.0,1,2,41.5792,1,0,1
0,3,51.0,0,0,8.05,0,1,0
0,1,60.0,0,0,26.55,0,1,0
0,3,25.0,0,0,7.225,1,0,0
1,3,1.0,0,2,15.7417,1,0,1
0,3,29.435674418604652,0,0,14.5,0,1,0
1,1,62.0,0,0,80.0,0,1,1
1,1,29.0,0,0,165.67585555058142,0,1,1
1,3,4.0,1,1,11.1333,0,1,0
1,2,28.0,0,0,12.65,0,1,1
0,3,26.0,0,0,7.8958,0,1,0
0,2,46.0,0,0,26.0,0,1,0
0,3,41.0,0,3,39.6875,0,1,1
0,3,42.0,0,0,7.55,0,1,0
0,1,29.435674418604652,0,0,35.0,0,1,0
1,1,38.0,1,0,71.2833,1,0,1
0,3,20.0,0,0,7.925,0,1,0
1,1,50.0,0,1,165.67585555058142,1,0,1
0,1,69.09083657624345,1,1,71.0,0,1,0
0,3,23.0,0,0,7.8958,0,1,0
1,3,31.0,0,0,7.925,0,1,0
1,1,40.0,0,0,153.4625,0,1,1
0,3,32.0,0,0,7.925,0,1,0
0,3,2.0,2,2,27.9,0,1,1
1,2,31.0,0,0,13.0,0,1,0
0,2,36.0,1,2,27.75,0,1,0
0,3,47.0,1,0,14.5,0,1,1
0,3,20.0,0,0,8.6625,0,1,0
0,3,28.0,0,0,7.8958,0,1,0
0,2,19.0,0,0,10.5,0,1,0
0,2,43.0,1,1,26.25,0,1,0
1,3,29.435674418604652,0,0,7.2292,1,0,0
1,1,29.435674418604652,0,0,26.55,0,1,0
0,3,26.0,1,0,14.4542,1,0,0
0,3,28.0,0,0,7.8958,0,1,0
1,2,42.0,0,0,13.0,0,1,1
1,2,21.0,0,0,10.5,0,1,1
0,3,2.0,2,1,39.6875,0,1,0
0,3,35.0,0,0,7.05,0,1,0
1,3,29.435674418604652,0,0,7.225,1,0,1
0,3,19.0,0,0,8.1583,0,1,0
0,2,50.0,0,0,13.0,0,1,0
1,2,28.0,0,0,13.0,0,1,1
0,2,27.0,0,0,26.0,0,1,0
0,3,43.0,1,3,46.9,0,1,1
0,2,51.0,0,0,12.525,0,1,0
0,3,28.5,0,0,7.2292,1,0,0
1,3,29.435674418604652,0,0,7.75,0,0,1
1,2,32.0,1,0,26.0,0,1,0
1,3,36.0,1,0,17.4,0,1,1
1,2,45.0,1,1,26.25,0,1,1
1,1,32.0,0,0,76.2917,1,0,1
0,1,29.435674418604652,0,0,50.0,0,1,0
0,3,29.435674418604652,0,0,7.2292,1,0,0
0,2,38.0,0,0,13.0,0,1,1
0,3,9.0,1,1,15.2458,1,0,1
1,1,29.435674418604652,1,0,133.65,0,1,1
0,2,35.0,0,0,26.0,0,1,0
1,1,30.0,0,0,31.0,1,0,1
1,1,40.0,1,1,134.5,1,0,1
0,3,30.0,0,0,8.05,0,1,0
0,3,11.0,2,2,46.9,0,1,0
0,3,36.0,1,1,24.15,0,1,0
0,3,17.0,0,0,8.6625,0,1,0
1,1,17.0,1,0,57.0,0,1,1
0,1,28.0,1,0,82.1708,1,0,0
0,3,3.0,2,1,21.075,0,1,1
1,1,19.0,0,2,26.2833,0,1,1
0,3,45.0,0,0,7.75,0,1,1
0,3,40.0,1,0,9.475,0,1,1
0,3,65.0,0,0,7.75,0,0,0
0,1,47.0,0,0,52.0,0,1,0
1,1,26.0,0,0,30.0,1,0,0
1,1,60.0,1,0,75.25,1,0,1
