Survived,Pclass,Age,Fare,EmbarkedC,EmbarkedS,Female,SibSpYes,ParchYes
0,3,29.812625250501004,8.05,0,1,0,0,0
1,3,25.0,7.775,0,1,0,1,0
1,3,0.75,19.2583,1,0,1,1,1
1,2,17.0,10.5,0,1,1,0,0
1,2,50.0,26.0,0,1,1,0,1
0,3,22.0,7.5208,0,1,0,0,0
1,3,35.0,20.25,0,1,1,1,1
0,3,29.812625250501004,7.75,0,0,0,0,0
1,3,19.0,7.8542,0,1,1,1,0
1,3,9.0,15.9,0,1,0,1,1
0,1,29.812625250501004,39.6,1,0,0,0,0
1,1,26.0,78.85,0,1,1,0,0
0,2,21.0,11.5,0,1,0,1,0
0,2,25.0,13.0,0,1,0,0,0
0,2,28.0,10.5,0,1,0,0,0
0,3,6.0,31.275,0,1,1,1,1
0,3,51.0,7.75,0,1,0,0,0
1,1,32.0,30.5,1,0,0,0,0
0,1,55.0,30.5,0,1,0,0,0
0,2,23.0,13.0,0,1,0,0,0
0,3,34.0,6.4958,0,1,0,0,0
0,3,29.812625250501004,7.25,0,1,0,0,0
1,3,31.0,8.6833,0,1,1,0,0
0,3,29.812625250501004,25.4667,0,1,1,1,1
0,3,30.0,24.15,0,1,1,1,1
0,1,24.0,79.2,1,0,0,0,0
0,3,29.812625250501004,7.55,0,1,0,0,0
0,3,21.0,8.05,0,1,0,0,0
1,1,51.0,77.9583,0,1,1,1,0
0,3,29.812625250501004,7.05,0,1,0,0,0
0,3,34.0,14.4,0,1,0,1,1
0,1,29.0,30.0,0,1,0,0,0
0,2,31.0,10.5,0,1,0,0,0
0,2,36.0,13.0,0,1,0,0,0
0,2,19.0,13.0,0,1,0,0,0
0,3,20.5,7.25,0,1,0,0,0
1,3,18.0,9.35,0,1,1,0,1
0,3,29.812625250501004,7.2292,1,0,0,0,0
0,3,29.812625250501004,8.7125,1,0,0,0,0
1,2,0.83,29.0,0,1,0,0,1
1,2,8.0,26.25,0,1,1,0,1
0,3,29.812625250501004,15.5,0,0,0,1,0
0,2,47.0,15.0,0,1,0,0,0
1,2,36.0,13.0,0,1,1,0,0
0,3,34.0,8.05,0,1,0,0,0
0,3,18.0,7.75,0,1,0,0,0
0,3,18.0,20.2125,0,1,0,1,1
0,3,40.0,7.8958,0,1,0,0,0
0,3,9.0,46.9,0,1,0,1,1
0,3,20.0,8.05,0,1,0,0,0
0,3,23.0,7.8542,0,1,0,0,0
0,1,29.812625250501004,31.0,0,1,0,0,0
0,3,41.0,7.125,0,1,0,0,0
0,1,33.0,5.0,0,1,0,0,0
0,3,29.812625250501004,8.05,0,1,1,0,0
1,3,27.0,11.1333,0,1,1,0,1
0,2,37.0,26.0,0,1,0,1,0
0,3,29.0,7.875,0,1,0,0,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,2,13.0,19.5,0,1,1,0,1
0,3,21.0,7.925,0,1,0,0,0
1,1,29.812625250501004,52.0,0,1,1,1,0
0,1,61.0,32.3208,0,1,0,0,0
0,2,27.0,13.0,0,1,0,0,0
1,3,29.812625250501004,56.4958,0,1,0,0,0
0,3,30.5,8.05,0,1,0,0,0
0,3,17.0,7.2292,1,0,0,1,1
0,3,14.0,7.8542,0,1,1,0,0
0,3,22.0,9.35,0,1,0,0,0
1,1,25.0,91.0792,1,0,0,1,0
0,3,29.812625250501004,7.75,0,0,0,0,0
0,2,42.0,27.0,0,1,0,1,0
0,3,18.0,6.4958,0,1,0,1,0
0,1,29.812625250501004,0.0,0,1,0,0,0
0,3,26.0,7.8958,0,1,0,0,0
1,1,29.812625250501004,79.2,1,0,1,0,0
1,1,35.0,135.6333,0,1,1,0,0
0,1,44.0,90.0,0,0,0,1,0
1,3,45.0,8.05,0,1,0,0,0
0,2,27.0,21.0,0,1,1,1,0
1,1,34.0,26.55,0,1,0,0,0
1,3,5.0,19.2583,1,0,1,1,1
0,3,18.0,7.8542,0,1,0,1,1
1,3,1.0,20.575,0,1,0,1,1
1,1,30.0,106.425,1,0,1,0,0
1,1,23.0,63.3583,1,0,0,0,1
0,3,32.0,7.925,0,1,0,0,0
1,1,33.0,86.5,0,1,1,0,0
0,1,50.0,28.7125,1,0,1,0,0
0,1,38.0,153.4625,0,1,0,0,1
0,3,21.0,8.05,0,1,0,0,0
0,1,37.0,29.7,1,0,0,0,1
0,3,22.0,8.05,0,1,0,0,0
0,1,42.0,52.0,0,1,0,1,0
0,1,45.0,83.475,0,1,0,1,0
1,2,4.0,39.0,0,1,1,1,1
1,3,29.812625250501004,7.75,0,0,1,0,0
1,2,1.0,39.0,0,1,0,1,1
1,2,25.0,30.0,0,1,1,1,1
1,2,31.0,26.25,0,1,1,1,1
0,3,7.0,29.125,0,0,0,1,1
0,1,19.0,187.66634567385893,0,1,0,1,1
1,1,11.0,120.0,0,1,0,1,1
0,3,24.5,8.05,0,1,0,0,0
1,2,50.0,10.5,0,1,1,0,0
0,2,34.0,13.0,0,1,0,0,0
0,3,45.5,7.225,1,0,0,0,0
0,3,29.812625250501004,7.75,0,0,0,1,0
0,1,29.0,66.6,0,1,0,1,0
0,1,29.812625250501004,30.6958,1,0,0,0,0
0,3,20.0,9.5,0,1,0,0,0
0,3,29.812625250501004,7.75,0,0,0,0,0
0,3,2.0,29.125,0,0,0,1,1
0,3,24.0,8.85,0,1,1,0,0
0,3,29.812625250501004,7.75,0,0,0,0,0
0,1,64.0,26.0,0,1,0,0,0
0,2,68.56427814644442,10.5,0,1,0,0,0
1,2,18.0,13.0,0,1,1,0,1
1,1,41.0,134.5,1,0,1,0,0
1,3,3.0,31.3875,0,1,0,1,1
0,2,29.812625250501004,15.05,1,0,0,0,0
0,3,29.812625250501004,7.8958,1,0,0,0,0
0,3,29.812625250501004,15.2458,1,0,1,0,1
0,3,23.0,9.225,0,1,0,0,0
0,3,29.812625250501004,23.45,0,1,1,1,1
0,2,29.812625250501004,0.0,0,1,0,0,0
0,1,54.0,77.2875,0,1,0,0,1
1,1,60.0,79.2,1,0,0,1,1
0,3,29.812625250501004,8.05,0,1,0,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
0,3,29.0,7.0458,0,1,0,1,0
1,2,18.0,23.0,0,1,1,0,1
0,2,30.0,13.0,0,1,0,0,0
1,2,27.0,10.5,0,1,1,0,0
1,1,49.0,89.1042,1,0,0,1,0
1,2,41.0,19.5,0,1,1,0,1
0,3,29.812625250501004,9.5,0,1,0,0,0
0,3,19.0,7.65,0,1,0,0,0
0,3,17.0,14.4583,1,0,1,0,0
0,2,60.0,39.0,0,1,0,1,1
0,3,42.0,8.6625,0,1,0,0,0
0,3,29.812625250501004,7.75,0,0,1,0,1
0,3,29.812625250501004,7.775,0,1,0,0,0
0,1,31.0,50.4958,0,1,0,0,0
0,2,16.0,10.5,0,1,0,0,0
0,3,29.0,10.4625,0,1,1,1,1
0,1,68.56427814644442,49.5042,1,0,0,0,0
0,3,44.0,16.1,0,1,0,0,1
1,2,29.0,26.0,0,1,1,1,0
1,1,36.0,135.6333,1,0,1,0,0
1,2,19.0,10.5,0,1,0,0,0
0,1,50.0,106.425,1,0,0,1,0
1,3,33.0,15.85,0,1,1,1,0
0,3,45.0,6.975,0,1,0,0,0
1,3,24.0,19.2583,1,0,1,0,1
1,3,5.0,31.3875,0,1,1,1,1
0,2,29.812625250501004,0.0,0,1,0,0,0
1,3,18.0,7.4958,0,1,1,0,0
0,3,27.0,14.4542,1,0,0,1,0
0,3,1.0,39.6875,0,1,0,1,1
0,3,26.0,7.775,0,1,0,0,0
0,3,29.812625250501004,7.55,0,1,1,0,0
0,3,22.0,10.5167,0,1,1,0,0
0,3,51.0,7.0542,0,1,0,0,0
1,1,21.0,187.66634567385893,1,0,1,1,1
0,3,39.0,29.125,0,0,1,0,1
0,3,4.0,27.9,0,1,0,1,1
0,3,24.0,7.8958,0,1,0,0,0
0,3,29.812625250501004,7.3125,0,1,0,0,0
0,3,29.812625250501004,15.5,0,0,0,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
0,2,25.0,13.0,0,1,0,0,0
1,2,29.812625250501004,13.0,0,1,0,0,0
0,3,18.0,7.775,0,1,0,0,0
0,2,23.0,13.0,0,1,0,0,0
0,3,36.0,0.0,0,1,0,0,0
0,3,25.0,7.8958,0,1,0,0,0
0,3,28.0,7.925,0,1,0,1,0
1,1,22.0,55.0,0,1,1,0,1
0,2,28.0,13.0,0,1,0,0,0
1,1,25.0,55.4417,1,0,0,1,0
0,3,22.0,7.25,0,1,0,0,0
1,3,22.0,7.75,0,0,1,0,0
0,3,14.5,14.4542,1,0,1,1,0
0,3,16.0,39.6875,0,1,0,1,1
0,2,42.0,13.0,0,1,0,0,0
0,2,39.0,13.0,0,1,0,0,0
0,3,32.0,7.8958,0,1,0,0,0
1,2,23.0,13.7917,1,0,1,0,0
0,3,45.0,27.9,0,1,1,1,1
1,1,24.0,49.5042,1,0,1,0,0
0,3,11.0,31.275,0,1,1,1,1
0,3,19.0,8.05,0,1,0,0,0
0,3,23.0,7.925,0,1,1,0,0
0,3,29.812625250501004,7.8292,0,0,0,0,0
0,3,21.0,8.4333,0,1,0,0,0
0,3,31.0,7.775,0,1,0,0,0
0,3,21.0,9.825,0,1,1,1,0
0,2,44.0,26.0,0,1,1,1,0
1,3,29.812625250501004,16.1,0,1,1,1,0
0,3,14.0,46.9,0,1,0,1,1
0,3,29.812625250501004,23.45,0,1,0,1,1
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,3,6.0,12.475,0,1,0,0,1
0,3,19.0,10.1708,0,1,0,0,0
1,3,39.0,7.925,0,1,0,0,0
1,1,42.0,52.5542,0,1,0,1,0
1,1,29.812625250501004,30.0,0,1,0,0,0
0,3,26.0,7.8875,0,1,0,0,0
0,3,29.812625250501004,7.75,0,0,0,0,0
0,1,22.0,135.6333,1,0,0,0,0
0,3,55.5,8.05,0,1,0,0,0
1,2,19.0,26.0,0,1,1,1,0
1,3,30.0,12.475,0,1,1,0,0
0,2,26.0,26.0,0,1,1,1,1
0,3,32.0,15.85,0,1,0,1,0
1,2,34.0,32.5,0,1,1,1,1
1,3,29.812625250501004,7.75,0,0,1,0,0
0,3,29.812625250501004,7.225,1,0,0,0,0
0,2,54.0,26.0,0,1,0,1,0
0,3,22.0,7.25,0,1,0,0,0
0,2,31.0,26.25,0,1,0,1,1
0,3,21.0,7.8542,0,1,0,0,0
0,3,22.0,7.2292,1,0,0,0,0
1,2,40.0,15.75,0,1,1,0,0
0,3,33.0,9.5,0,1,0,0,0
1,3,22.0,7.775,0,1,1,0,0
1,3,31.0,20.525,0,1,1,1,1
0,3,43.0,8.05,0,1,0,0,0
1,1,38.0,90.0,0,1,0,1,0
0,2,36.0,12.875,1,0,0,0,0
0,3,4.0,31.275,0,1,0,1,1
0,3,28.0,7.8542,0,1,0,0,0
1,2,54.0,23.0,0,1,1,1,1
0,3,34.0,8.05,0,1,0,0,0
1,3,26.0,56.4958,0,1,0,0,0
0,1,52.0,79.65,0,1,0,1,1
1,2,4.0,23.0,0,1,1,1,1
1,2,42.0,26.0,0,1,1,1,0
1,1,56.0,83.1583,1,0,1,0,1
0,3,30.0,8.05,0,1,0,0,0
1,2,34.0,13.0,0,1,0,0,0
0,2,48.0,13.0,0,1,0,0,0
0,2,66.0,10.5,0,1,0,0,0
0,3,39.0,7.925,0,1,0,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
1,3,44.0,7.925,0,1,0,0,0
1,1,17.0,108.9,1,0,1,1,0
1,1,28.0,26.55,0,1,0,0,0
1,2,0.83,18.75,0,1,0,1,1
0,2,21.0,73.5,0,1,0,1,0
1,3,32.0,8.05,0,1,0,0,0
0,2,36.5,26.0,0,1,0,0,1
0,3,19.0,7.8958,0,1,0,0,0
0,3,2.0,31.275,0,1,1,1,1
0,3,29.0,21.075,0,1,1,0,1
0,1,45.0,35.5,0,1,0,0,0
0,2,52.0,13.0,0,1,0,0,0
0,3,25.0,7.775,0,1,1,0,0
1,1,52.0,78.2667,1,0,1,1,0
0,3,49.0,0.0,0,1,0,0,0
0,3,32.0,7.75,0,0,0,0,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,3,20.0,7.925,0,1,0,1,0
1,3,29.812625250501004,7.7375,0,0,1,0,0
1,3,29.0,9.5,0,1,0,0,0
1,1,45.0,164.8667,0,1,1,1,1
0,3,29.812625250501004,7.2292,1,0,0,0,0
0,3,22.0,7.25,0,1,0,1,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
0,3,29.812625250501004,7.2292,1,0,0,0,0
1,3,29.812625250501004,22.3583,1,0,1,0,1
0,3,29.812625250501004,7.8958,0,1,0,0,0
1,1,48.0,25.9292,0,1,1,0,0
0,3,25.0,7.25,0,1,0,0,0
1,3,26.0,7.925,0,1,1,0,0
1,1,27.0,53.1,0,1,0,1,0
0,3,50.0,8.05,0,1,0,0,0
0,3,19.0,7.8958,0,1,0,0,0
1,1,48.0,39.6,1,0,1,1,0
1,2,40.0,13.0,0,1,1,0,0
1,3,29.0,15.2458,1,0,1,0,1
0,3,29.812625250501004,8.05,0,1,0,0,0
0,3,29.812625250501004,7.8958,0,1,0,0,0
0,3,18.0,7.775,0,1,1,0,0
0,1,49.0,110.8833,1,0,0,1,1
0,2,29.812625250501004,0.0,0,1,0,0,0
0,3,29.812625250501004,7.75,0,0,0,0,0
0,3,22.0,7.125,0,1,0,0,0
1,3,29.812625250501004,24.15,0,0,1,1,0
0,3,25.0,7.7417,0,0,0,0,0
1,1,33.0,53.1,0,1,1,1,0
0,3,36.0,15.55,0,1,0,1,0
1,2,3.0,18.75,0,1,0,1,1
0,3,19.0,6.75,0,0,0,0,0
0,1,40.0,27.7208,1,0,0,0,0
1,3,29.812625250501004,7.8792,0,0,1,0,0
1,3,29.0,7.75,0,0,0,0,0
1,1,0.92,151.55,0,1,0,1,1
1,3,21.0,7.65,0,1,1,0,0
0,3,30.0,7.25,0,1,0,0,0
0,3,29.812625250501004,19.9667,0,1,0,1,0
1,3,19.0,7.8792,0,0,1,0,0
0,3,38.0,8.6625,0,1,0,0,0
1,1,39.0,83.1583,1,0,1,1,1
0,3,25.0,17.8,0,1,0,1,0
0,3,28.0,15.85,0,1,0,1,0
1,3,29.812625250501004,7.75,0,0,1,0,0
1,1,29.812625250501004,82.1708,1,0,1,1,0
1,3,24.0,7.1417,0,1,0,0,0
0,3,30.0,16.1,0,1,0,1,0
1,3,29.812625250501004,7.8292,0,0,1,0,0
0,1,37.0,53.1,0,1,0,1,0
1,1,35.0,187.66634567385893,1,0,0,0,0
1,3,4.0,22.025,0,1,1,0,1
1,1,50.0,133.65,0,1,0,1,0
0,1,25.0,151.55,0,1,1,1,1
0,3,28.0,9.5,0,1,0,0,0
0,3,38.0,7.05,0,1,0,0,0
0,3,41.0,20.2125,0,1,1,0,1
1,2,24.0,18.75,0,1,1,1,1
1,1,29.812625250501004,29.7,1,0,0,0,0
1,2,8.0,36.75,0,1,0,1,1
0,1,47.0,38.5,0,1,0,0,0
0,3,7.0,39.6875,0,1,0,1,1
0,1,46.0,61.175,0,1,0,1,0
1,2,34.0,13.0,0,1,1,0,0
1,1,38.0,187.66634567385893,1,0,1,0,0
0,3,25.0,7.05,0,1,0,0,0
0,2,19.0,36.75,0,1,0,1,1
1,3,29.812625250501004,56.4958,0,1,0,0,0
0,3,22.0,8.05,0,1,0,0,0
1,2,35.0,21.0,0,1,1,0,0
0,3,29.812625250501004,69.55,0,1,0,1,1
0,1,58.0,113.275,1,0,0,0,1
1,3,3.0,15.9,0,1,0,1,1
0,3,30.0,8.6625,0,1,1,0,0
0,2,23.0,11.5,0,1,0,1,1
1,2,29.812625250501004,33.0,0,1,1,0,0
0,1,29.812625250501004,0.0,0,1,0,0,0
0,1,64.0,187.66634567385893,0,1,0,1,1
1,3,0.75,19.2583,1,0,1,1,1
0,3,29.812625250501004,8.4583,0,0,0,0,0
1,1,36.0,26.3875,0,1,0,0,0
0,3,2.0,21.075,0,1,0,1,1
0,2,24.0,13.0,0,1,0,0,0
1,2,24.0,65.0,0,1,1,1,1
0,3,30.0,7.225,1,0,0,0,0
0,2,24.0,10.5,0,1,0,0,0
0,2,27.0,13.0,0,1,0,0,0
1,3,26.0,7.8542,0,1,1,0,0
0,1,46.0,79.2,1,0,0,0,0
0,3,40.5,7.75,0,0,0,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
1,2,33.0,27.75,0,1,1,1,1
1,1,18.0,187.66634567385893,1,0,1,1,0
1,3,27.0,7.925,0,1,1,0,0
0,3,24.0,9.5,0,1,0,0,0
0,3,29.812625250501004,7.7375,0,0,0,0,0
0,2,52.0,13.5,0,1,0,0,0
0,1,65.0,26.55,0,1,0,0,0
0,3,24.0,16.1,0,1,0,1,0
0,3,39.0,24.15,0,1,0,0,0
0,2,25.0,41.5792,1,0,0,1,1
0,3,21.0,7.25,0,1,0,0,0
0,3,10.0,27.9,0,1,0,1,1
0,3,44.0,8.05,0,1,0,0,0
1,1,17.0,110.8833,1,0,0,0,1
0,2,34.0,26.0,0,1,0,1,0
1,1,37.0,52.5542,0,1,0,1,1
1,2,30.0,13.0,0,1,1,0,0
1,1,29.812625250501004,30.5,0,1,0,0,0
1,1,35.0,26.2875,0,1,0,0,0
1,3,5.0,12.475,0,1,1,0,0
0,1,40.0,0.0,0,1,0,0,0
0,2,32.0,10.5,0,1,0,0,0
0,3,29.812625250501004,7.25,0,1,0,0,0
0,3,30.5,7.75,0,0,1,0,0
0,3,41.0,14.1083,0,1,0,1,0
0,2,57.0,12.35,0,0,0,0,0
0,3,26.0,8.05,0,1,0,0,0
0,3,43.0,6.45,0,1,0,0,0
1,1,31.0,113.275,1,0,1,1,0
0,1,29.812625250501004,25.925,0,1,0,0,0
1,3,25.0,0.0,0,1,0,0,0
0,3,19.0,14.5,0,1,0,0,0
0,3,32.0,15.5,0,0,1,1,1
1,3,2.0,12.2875,0,1,1,0,1
1,2,29.812625250501004,13.8625,1,0,0,0,0
0,3,21.0,7.75,0,0,1,0,0
1,3,15.0,7.225,1,0,1,0,0
0,3,29.812625250501004,8.05,0,1,0,0,0
1,3,29.812625250501004,22.3583,1,0,1,1,1
0,3,29.812625250501004,7.8958,0,1,0,0,0
0,1,62.0,26.55,0,1,0,0,0
0,3,16.0,20.25,0,1,0,1,1
1,1,58.0,153.4625,0,1,1,0,1
0,3,68.56427814644442,7.775,0,1,0,0,0
1,1,58.0,26.55,0,1,1,0,0
1,3,32.0,7.925,0,1,0,0,0
0,1,36.0,40.125,1,0,0,0,0
1,2,14.0,30.0708,1,0,1,1,0
0,2,29.0,27.7208,1,0,0,1,0
0,3,28.0,22.525,0,1,0,0,0
0,3,16.0,34.375,0,1,0,1,1
0,3,29.812625250501004,15.1,0,1,0,0,0
1,2,36.0,26.0,0,1,1,1,0
0,1,45.5,28.5,0,1,0,0,0
0,2,30.0,13.0,0,1,0,0,0
1,1,36.0,26.2875,0,1,0,0,0
1,1,4.0,81.8583,0,1,0,0,1
0,2,28.0,33.0,0,1,0,0,1
0,1,29.812625250501004,26.55,0,1,0,0,0
1,3,29.812625250501004,7.775,0,1,0,0,0
1,1,29.812625250501004,110.8833,1,0,1,0,0
1,1,30.0,93.5,0,1,1,0,0
0,1,56.0,26.55,0,1,0,0,0
1,2,3.0,26.0,0,1,0,1,1
1,3,29.812625250501004,23.25,0,0,0,1,0
0,3,29.812625250501004,24.15,0,0,0,0,0
0,3,42.0,8.4042,0,1,0,0,1
1,1,27.0,30.5,0,1,0,0,0
0,1,56.0,30.6958,1,0,0,0,0
0,3,28.0,7.7958,0,1,0,0,0
1,2,29.0,10.5,0,1,1,0,0
